area_type,availability,location,size,total_sqft,bath,balcony,price,ready_to_move,bedrooms
Super built-up  Area,Ready To Move,thanisandra,1 RK,445.0,1,0,2800000.0,1,1
Super built-up  Area,Ready To Move,hsr layout,3 BHK,1475.0,3,2,7500000.0,1,3
Super built-up  Area,Ready To Move,gottigere,3 BHK,1618.0,3,3,8250000.0,1,3
Super built-up  Area,Ready To Move,koramangala,2 BHK,1120.0,2,0,6500000.0,1,2
Super built-up  Area,Ready To Move,marathahalli,4 BHK,2181.0,3,2,15200000.0,1,4
Plot  Area,Ready To Move,vidyaranyapura,4 BHK,1200.0,4,0,9000000.0,1,4
Super built-up  Area,18-Oct,bannerghatta road,3 BHK,1556.0,2,1,5913000.0,0,3
Super built-up  Area,19-Feb,bannerghatta road,2 BHK,1179.0,2,1,6602000.0,0,2
Super built-up  Area,Ready To Move,thanisandra,2 BHK,1296.0,2,2,8300000.0,1,2
Built-up  Area,Ready To Move,kaggadasapura,2 BHK,1275.0,2,2,5200000.0,1,2
Super built-up  Area,Ready To Move,kathriguppe,3 BHK,1400.0,2,2,7700000.0,1,3
Super built-up  Area,Ready To Move,gottigere,2 BHK,1222.0,2,1,6300000.0,1,2
Super built-up  Area,Ready To Move,electronic city,2 BHK,940.0,2,1,4100000.0,1,2
Super built-up  Area,Ready To Move,thanisandra,2 BHK,1185.0,2,2,4260000.0,1,2
Super built-up  Area,Ready To Move,tumkur road,3 BHK,1779.0,3,2,11200000.0,1,3
Super built-up  Area,Ready To Move,begur road,3 BHK,1615.0,3,2,5976000.0,1,3
Super built-up  Area,Ready To Move,haralur road,2 BHK,1056.0,2,1,6100000.0,1,2
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,1100.0,2,0,4600000.0,1,2
Built-up  Area,Ready To Move,arekere,2 BHK,920.0,2,1,4000000.0,1,2
Super built-up  Area,Ready To Move,iti layout,3 BHK,1602.0,2,0,7500000.0,1,3
Built-up  Area,Ready To Move,padmanabhanagar,2 BHK,1176.0,2,0,6200000.0,1,2
Super built-up  Area,Ready To Move,richmond town,3 BHK,1352.0,3,0,13500000.0,1,3
Built-up  Area,Ready To Move,kasavanhalli,3 BHK,1717.0,3,3,9900000.0,1,3
Plot  Area,18-Apr,4 bedroom farm house in bagalur,4 BHK,10961.0,4,1,8000000.0,0,4
Super built-up  Area,18-Jul,bhoganhalli,4 BHK,2119.0,4,3,11100000.0,0,4
Super built-up  Area,Ready To Move,vittasandra,2 BHK,1246.0,2,1,6730000.0,1,2
Super built-up  Area,17-Jul,anandapura,2 BHK,1141.0,2,1,4279000.0,0,2
Built-up  Area,Ready To Move,hennur road,2 BHK,1157.0,2,1,8400000.0,1,2
Super built-up  Area,18-Aug,chandapura,2 BHK,1025.0,2,2,2768000.0,0,2
Built-up  Area,Ready To Move,yelahanka new town,1 BHK,650.0,1,2,3300000.0,1,1
Super built-up  Area,Ready To Move,hebbal,2 BHK,1349.0,2,1,9800000.0,1,2
Super built-up  Area,Ready To Move,narayanapura,3 BHK,1566.0,3,1,8330000.0,1,3
Super built-up  Area,Ready To Move,sahakara nagar,4 BHK,2830.0,3,3,19500000.0,1,4
Built-up  Area,18-Dec,electronic city,3 BHK,1320.0,2,1,3813000.0000000005,0,3
Super built-up  Area,18-Nov,manyata park,3 BHK,1780.0,3,1,8483000.0,0,3
Super built-up  Area,Ready To Move,varthur,2 BHK,1091.0,2,1,3490000.0,1,2
Super built-up  Area,Ready To Move,rachenahalli,4 BHK,3670.0,4,3,30000000.0,1,4
Built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,918.0,2,1,5049000.0,1,2
Super built-up  Area,20-Dec,yeshwanthpur,4 BHK,1950.0,4,0,13000000.0,0,4
Super built-up  Area,Ready To Move,panathur,3 BHK,1695.0,3,1,9000000.0,1,3
Super built-up  Area,Ready To Move,yelahanka,3 BHK,1705.0,3,2,9500000.0,1,3
Built-up  Area,Ready To Move,kalyan nagar,3 BHK,1375.0,3,2,7500000.0,1,3
Super built-up  Area,21-Oct,kanakpura road,1 BHK,525.0,1,1,3000000.0,0,1
Built-up  Area,20-Dec,whitefield,2 BHK,1447.0,2,1,8300000.0,0,2
Super built-up  Area,Ready To Move,thanisandra,2 BHK,1114.0,2,1,3900000.0,1,2
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,1450.0,2,1,10000000.0,1,3
Built-up  Area,Ready To Move,vasanthapura,2 BHK,1022.0,2,2,4000000.0,1,2
Built-up  Area,Ready To Move,hebbal,2 BHK,1000.0,2,2,4500000.0,1,2
Super built-up  Area,18-Apr,electronic city,2 BHK,1128.0,2,1,6875000.0,0,2
Super built-up  Area,18-May,kanakpura road,2 BHK,1180.0,2,2,5700000.0,0,2
Plot  Area,Ready To Move,nagarbhavi,2 BHK,1200.0,2,1,15000000.0,1,2
Super built-up  Area,Ready To Move,sadashiva nagar,3 BHK,3761.0,3,2,66000000.0,1,3
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,1339.0,2,3,7500000.0,1,2
Super built-up  Area,Ready To Move,yelachenahalli,3 BHK,1400.0,2,3,5500000.0,1,3
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,1040.0,2,1,3952000.0000000005,1,2
Super built-up  Area,Ready To Move,kadugodi,2 BHK,1198.0,2,2,5800000.0,1,2
Super built-up  Area,Ready To Move,sarjapur  road,3 BHK,1691.0,3,2,11300000.0,1,3
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,1075.0,3,2,3600000.0,1,3
Super built-up  Area,18-Jun,1st block jayanagar,3 BHK,1630.0,3,2,19400000.0,0,3
Super built-up  Area,18-Jun,8th phase jp nagar,3 BHK,1240.0,3,2,4350000.0,0,3
Super built-up  Area,22-Dec,bannerghatta road,2 BHK,1122.5,2,0,5893500.0,0,2
Super built-up  Area,Ready To Move,mallasandra,3 BHK,1665.0,3,2,8658000.0,1,3
Built-up  Area,Ready To Move,brookefield,2 BHK,1142.0,2,2,7000000.0,1,2
Super built-up  Area,Ready To Move,kodbisanhalli,3 BHK,1976.0,3,1,18400000.0,1,3
Super built-up  Area,Ready To Move,kothannur,3 BHK,1853.0,3,2,8200000.0,1,3
Super built-up  Area,Ready To Move,kasturi nagar,2 BHK,1567.0,2,2,9200000.0,1,2
Super built-up  Area,Ready To Move,talaghattapura,2 BHK,1090.0,2,1,2724000.0,1,2
Plot  Area,Ready To Move,indiranagar hal 2nd stage,4 BHK,2400.0,4,1,64000000.0,1,4
Super built-up  Area,Ready To Move,electronics city phase 1,2 BHK,1175.0,2,2,5147000.0,1,2
Built-up  Area,Ready To Move,subramanyapura,2 BHK,1200.0,2,2,5200000.0,1,2
Built-up  Area,Ready To Move,kodichikkanahalli,2 BHK,995.0,2,1,4100000.0,1,2
Super built-up  Area,Ready To Move,magadi road,2 BHK,884.0,2,1,4110000.0,1,2
Built-up  Area,Ready To Move,yeshwanthpur,2 BHK,1170.0,2,2,5700000.0,1,2
Super built-up  Area,Ready To Move,kr puram,2 BHK,1225.0,2,1,4655000.0,1,2
Super built-up  Area,18-Apr,electronic city,2 BHK,1342.0,2,1,7330000.0,0,2
Built-up  Area,19-Dec,uttarahalli,2 BHK,1345.0,2,1,6700000.0,0,2
Built-up  Area,Ready To Move,kodigehaali,3 BHK,1320.0,3,0,6500000.0,1,3
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,1140.0,2,1,4939000.0,1,2
Super built-up  Area,Ready To Move,battarahalli,2 BHK,1300.0,2,1,5000000.0,1,2
Super built-up  Area,Ready To Move,hosa road,3 BHK,1652.0,3,2,8500000.0,1,3
Super built-up  Area,Ready To Move,thigalarapalya,3 BHK,2072.0,4,2,14200000.0,1,3
Super built-up  Area,Ready To Move,electronic city,3 BHK,1360.0,2,1,7100000.0,1,3
Super built-up  Area,Ready To Move,hosur road,3 BHK,1145.0,2,2,6000000.0,1,3
Built-up  Area,Ready To Move,uttarahalli,3 BHK,1540.0,2,0,4000000.0,1,3
Super built-up  Area,Ready To Move,sarjapur  road,2 BHK,1278.0,2,2,9500000.0,1,2
Super built-up  Area,18-May,electronic city phase ii,1 BHK,630.0,1,1,4000000.0,0,1
Super built-up  Area,21-Jan,kanakpura road,3 BHK,1100.0,3,2,5800000.0,0,3
Plot  Area,Ready To Move,bendiganahalli,3 BHK,1200.0,3,0,9500000.0,1,3
Built-up  Area,Ready To Move,hosakerehalli layout,7 BHK,2500.0,6,2,11500000.0,1,7
Super built-up  Area,18-Jun,chandapura,1 BHK,582.5,1,0,1513500.0,0,1
Super built-up  Area,18-Sep,chandapura,2 BHK,1015.0,2,2,2588000.0,0,2
Built-up  Area,Ready To Move,hosur road,5 BHK,3300.0,5,2,24000000.0,1,5
Plot  Area,Ready To Move,basaveshwara nagar,5 BHK,4500.0,5,1,41500000.0,1,5
Super built-up  Area,Ready To Move,gunjur,3 BHK,1356.0,2,3,6600000.0,1,3
Super built-up  Area,Ready To Move,hennagara,2 BHK,823.0,2,1,2800000.0,1,2
Plot  Area,Ready To Move,tc palaya,3 BHK,1200.0,2,0,6600000.0,1,3
Built-up  Area,Ready To Move,ramamurthy nagar,2 BHK,1050.0,2,0,3700000.0,1,2
Super built-up  Area,Ready To Move,ferrar nagar,2 BHK,1180.0,2,1,6900000.0,1,2
Super built-up  Area,Ready To Move,whitefield,2 BHK,1116.0,2,3,5191000.0,1,2
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,1070.0,2,1,4279000.0,1,2
Super built-up  Area,17-Mar,varthur,2 BHK,1385.0,2,3,8000000.0,0,2
Plot  Area,Ready To Move,varthur,1 BHK,1000.0,1,1,7000000.0,1,1
Built-up  Area,18-Feb,whitefield,3 BHK,1897.0,3,2,13000000.0,0,3
Super built-up  Area,18-Aug,magadi road,2 BHK,1005.0,2,1,5578000.0,0,2
Super built-up  Area,Ready To Move,green glen layout,3 BHK,1575.0,3,2,12500000.0,1,3
Super built-up  Area,Ready To Move,subramanyapura,2 BHK,975.0,2,1,6500000.0,1,2
Super built-up  Area,Ready To Move,hennur road,3 BHK,1904.0,3,2,12000000.0,1,3
Super built-up  Area,Ready To Move,kengeri satellite town,1 BHK,930.0,1,1,3000000.0,1,1
Super built-up  Area,21-Dec,kanakpura road,1 BHK,525.0,1,1,2600000.0,0,1
Super built-up  Area,Ready To Move,bagur,1 BHK,686.0,1,1,1700000.0,1,1
Plot  Area,Ready To Move,electronic city phase ii,2 BHK,2400.0,3,1,15000000.0,1,2
Plot  Area,Ready To Move,8th block koramangala,2 BHK,1410.0,1,0,23300000.0,1,2
Built-up  Area,18-Apr,sarjapur  road,3 BHK,2238.0,3,1,14000000.0,0,3
Super built-up  Area,Ready To Move,harlur,2 BHK,1174.0,2,1,6900000.0,1,2
Built-up  Area,Ready To Move,thubarahalli,4 BHK,3800.0,4,3,23900000.0,1,4
Super built-up  Area,Ready To Move,whitefield,3 BHK,2225.0,2,1,12500000.0,1,3
Super built-up  Area,Ready To Move,m.g road,2 BHK,1250.0,2,0,20000000.0,1,2
Super built-up  Area,Ready To Move,jigani,2 BHK,918.0,2,2,5200000.0,1,2
Super built-up  Area,Ready To Move,mahadevpura,2 BHK,1250.0,2,3,5200000.0,1,2
Built-up  Area,Ready To Move,marathahalli,2 BHK,1170.0,2,3,5300000.0,1,2
Super built-up  Area,Ready To Move,byatarayanapura,1 BHK,1300.0,1,0,20000000.0,1,1
Built-up  Area,Ready To Move,bannerghatta road,2 BHK,793.0,2,1,4500000.0,1,2
Super built-up  Area,Ready To Move,jakkur,3 BHK,1710.0,3,2,10700000.0,1,3
Super built-up  Area,Ready To Move,kambipura,3 BHK,1082.0,2,1,5750000.0,1,3
Super built-up  Area,18-Mar,naganathapura,2 BHK,1001.0,2,2,3303000.0,0,2
Super built-up  Area,Ready To Move,yelahanka,3 BHK,1590.0,2,1,5400000.0,1,3
Super built-up  Area,Ready To Move,basavanagara,3 BHK,2400.0,2,0,8000000.0,1,3
Super built-up  Area,Ready To Move,horamavu banaswadi,3 BHK,1554.0,3,2,5500000.0,1,3
Super built-up  Area,18-Dec,thanisandra,2 BHK,1142.5,2,0,4341500.0,0,2
Super built-up  Area,Ready To Move,bellandur,5 BHK,4239.0,5,2,42300000.0,1,5
Built-up  Area,Ready To Move,konanakunte,2 BHK,884.0,1,0,5800000.0,1,2
Super built-up  Area,19-Mar,hosa road,2 BHK,1045.0,2,1,9889000.0,0,2
Super built-up  Area,Ready To Move,marathahalli,2 BHK,1019.0,2,2,4986000.0,1,2
Super built-up  Area,Ready To Move,ambedkar nagar,3 BHK,1935.0,4,2,13000000.0,1,3
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,1135.0,2,2,3972999.9999999995,1,3
Super built-up  Area,Ready To Move,lakshminarayana pura,3 BHK,1680.0,3,2,15000000.0,1,3
Super built-up  Area,19-Jun,hebbal,4 BHK,2470.0,5,2,24700000.0,0,4
Super built-up  Area,Ready To Move,1st phase jp nagar,4 BHK,2825.0,4,3,25000000.0,1,4
Super built-up  Area,Ready To Move,hosakerehalli,3 BHK,2480.0,3,1,33000000.0,1,3
Plot  Area,Ready To Move,ramamurthy nagar,5 BHK,1800.0,4,3,18700000.0,1,5
Built-up  Area,Ready To Move,kasavanhalli,3 BHK,1799.0,3,3,9000000.0,1,3
Built-up  Area,Ready To Move,attibele,1 BHK,400.0,1,1,1100000.0,1,1
Built-up  Area,18-Mar,kundalahalli,2 BHK,1047.0,2,1,8200000.0,0,2
Super built-up  Area,Ready To Move,kaverappa layout,2 BHK,1282.0,2,2,8700000.0,1,2
Super built-up  Area,Ready To Move,ngr layout,2 BHK,1020.0,2,1,4590000.0,1,2
Super built-up  Area,Ready To Move,whitefield,2 BHK,1495.0,2,1,7950000.0,1,2
Built-up  Area,Ready To Move,kasavanhalli,4 BHK,3260.0,4,1,24000000.0,1,4
Super built-up  Area,17-Oct,divya unnathi layout,3 BHK,1611.0,2,2,6444000.0,0,3
Super built-up  Area,Ready To Move,koramangala,4 BHK,3500.0,5,2,42500000.0,1,4
Built-up  Area,Ready To Move,vasantha vallabha nagar,3 BHK,1500.0,2,2,9500000.0,1,3
Super built-up  Area,Ready To Move,sahakara nagar,3 BHK,1500.0,2,2,9500000.0,1,3
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,1540.0,3,0,5000000.0,1,3
Super built-up  Area,18-May,hosa road,3 BHK,1639.0,3,1,8000000.0,0,3
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,1303.0,2,2,5579000.0,1,2
Super built-up  Area,Ready To Move,koramangala,2 BHK,1005.0,1,1,11000000.0,1,2
Super built-up  Area,Ready To Move,kammasandra,1 BHK,657.5,1,0,1841000.0,1,1
Super built-up  Area,18-Oct,chandapura,3 BHK,1305.0,3,1,3328000.0,0,3
Super built-up  Area,Ready To Move,sapthagiri layout,2 BHK,1300.0,1,1,11500000.0,1,2
Super built-up  Area,Ready To Move,brookefield,3 BHK,1440.0,2,3,6800000.0,1,3
Super built-up  Area,18-Dec,seegehalli,2 BHK,901.0,2,1,3514000.0,0,2
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,1725.0,3,3,20000000.0,1,3
Built-up  Area,Ready To Move,sarjapur,3 BHK,900.0,2,1,4200000.0,1,3
Super built-up  Area,Ready To Move,beml layout,2 BHK,1060.0,2,1,5500000.0,1,2
Super built-up  Area,Ready To Move,ngr layout,2 BHK,1020.0,2,1,4845000.0,1,2
Super built-up  Area,20-Dec,varthur,3 BHK,1535.0,3,2,6598999.999999999,0,3
Built-up  Area,Ready To Move,alur,1 BHK,530.0,1,1,2000000.0,1,1
Super built-up  Area,Ready To Move,haralur road,3 BHK,1464.0,3,2,5600000.0,1,3
Super built-up  Area,Ready To Move,devarabisanahalli,2 BHK,1350.0,2,3,8000000.0,1,2
Super built-up  Area,Ready To Move,sarjapur  road,2 BHK,1115.0,2,2,5000000.0,1,2
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,1175.0,2,2,4700000.0,1,2
Built-up  Area,Ready To Move,whitefield,2 BHK,1113.0,2,1,6200000.0,1,2
Plot  Area,Ready To Move,ramamurthy nagar,5 BHK,1640.0,4,3,24000000.0,1,5
Built-up  Area,Ready To Move,giri nagar,2 BHK,650.0,2,0,4200000.0,1,2
Super built-up  Area,Ready To Move,marathahalli,2 BHK,1325.0,2,2,7155000.0,1,2
Built-up  Area,Ready To Move,electronics city phase 1,2 BHK,950.0,2,3,3100000.0,1,2
Super built-up  Area,18-Apr,jakkur,3 BHK,1396.0,2,1,8651000.0,0,3
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,1050.0,2,2,5207000.0,1,2
Super built-up  Area,Ready To Move,thanisandra,3 BHK,1825.0,3,2,10000000.0,1,3
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,1190.0,2,1,4998000.0,1,2
Super built-up  Area,Ready To Move,marathahalli,2 BHK,1220.0,2,1,5650000.0,1,2
Super built-up  Area,Ready To Move,nri layout,3 BHK,1565.0,2,2,7500000.0,1,3
Super built-up  Area,Ready To Move,hennur road,3 BHK,1891.0,3,1,10900000.0,1,3
Built-up  Area,Ready To Move,sidedahalli,2 BHK,900.0,2,0,2700000.0,1,2
Super built-up  Area,18-Jul,hosa road,2 BHK,1161.0,2,1,5515000.0,0,2
Super built-up  Area,Ready To Move,sarjapur,1 BHK,649.5,1,0,1753500.0,1,1
Plot  Area,Ready To Move,dwarka nagar,8 BHK,2400.0,6,3,12500000.0,1,8
Super built-up  Area,Ready To Move,yeshwanthpur,1 BHK,665.0,1,1,3685000.0,1,1
Super built-up  Area,19-Jan,mysore road,2 BHK,1175.0,2,1,7350000.0,0,2
Built-up  Area,Ready To Move,hoodi,2 BHK,1425.0,2,2,8000000.0,1,2
Plot  Area,Ready To Move,chikkabanavar,1 BHK,1200.0,1,0,2000000.0,1,1
Plot  Area,18-Aug,itpl,3 BHK,1200.0,3,1,5612000.0,0,3
Built-up  Area,Ready To Move,somasundara palya,2 BHK,1255.0,2,2,6700000.0,1,2
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,2112.95,4,2,14500000.0,1,3
Super built-up  Area,Ready To Move,raja rajeshwari nagar,1 BHK,600.0,1,1,2200000.0,1,1
Super built-up  Area,18-Jul,haralur road,3 BHK,1810.0,3,2,10000000.0,0,3
Super built-up  Area,Ready To Move,indira nagar,2 BHK,1200.0,2,2,9300000.0,1,2
Super built-up  Area,Ready To Move,harlur,2 BHK,1033.0,2,2,4900000.0,1,2
Super built-up  Area,Ready To Move,itpl,3 BHK,1548.0,3,2,8950000.0,1,3
Super built-up  Area,18-May,horamavu banaswadi,3 BHK,1611.0,3,3,6600000.0,0,3
Built-up  Area,18-Jul,electronic city phase ii,3 BHK,1400.0,2,1,4043000.0,0,3
Super built-up  Area,Ready To Move,vidyaranyapura,3 BHK,1485.0,2,2,6700000.0,1,3
Built-up  Area,Ready To Move,margondanahalli,2 BHK,2400.0,2,1,8200000.0,1,2
Super built-up  Area,Ready To Move,pattandur agrahara,2 BHK,1025.0,2,1,4450000.0,1,2
Built-up  Area,Ready To Move,5th phase jp nagar,2 BHK,1256.0,2,1,6280000.0,1,2
Super built-up  Area,Ready To Move,whitefield,4 BHK,2268.0,3,2,16300000.0,1,4
Super built-up  Area,21-Dec,kanakpura road,3 BHK,1100.0,3,2,5300000.0,0,3
Super built-up  Area,Ready To Move,vadarpalya,2 BHK,1141.0,2,0,6200000.0,1,2
Built-up  Area,Ready To Move,attibele,1 BHK,400.0,1,1,1200000.0,1,1
Plot  Area,Ready To Move,chandapura,2 BHK,1400.0,2,0,6000000.0,1,2
Super built-up  Area,Ready To Move,raghavendra nagar,2 BHK,1175.0,2,2,4827000.0,1,2
Super built-up  Area,Ready To Move,sahakara nagar,2 BHK,1100.0,2,1,5600000.0,1,2
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,1843.0,3,2,9584000.0,1,3
Super built-up  Area,19-Dec,horamavu banaswadi,2 BHK,1460.0,2,1,8050000.0,0,2
Super built-up  Area,Ready To Move,rachenahalli,3 BHK,1530.0,2,2,7450000.0,1,3
Built-up  Area,Ready To Move,hsr layout,2 BHK,1467.0,2,1,5500000.0,1,2
Super built-up  Area,Ready To Move,kr layout,1 BHK,950.0,1,1,4000000.0,1,1
Super built-up  Area,Ready To Move,vittasandra,2 BHK,1246.0,2,1,6450000.0,1,2
Super built-up  Area,19-Dec,kanakapura,1 BHK,711.0,1,1,3800000.0,0,1
Super built-up  Area,Ready To Move,haralur road,2 BHK,1194.0,2,2,4600000.0,1,2
Super built-up  Area,Ready To Move,babusapalaya,3 BHK,1358.0,2,1,4340000.0,1,3
Super built-up  Area,Ready To Move,hoodi,2 BHK,1420.0,2,2,7500000.0,1,2
Super built-up  Area,Ready To Move,kathriguppe,3 BHK,1250.0,2,1,6875000.0,1,3
Super built-up  Area,Ready To Move,nagappa reddy layout,2 BHK,1209.0,2,1,5000000.0,1,2
Built-up  Area,Ready To Move,kempapura,5 BHK,4200.0,5,2,22500000.0,1,5
Plot  Area,Ready To Move,btm 1st stage,4 BHK,1215.0,4,3,20500000.0,1,4
Super built-up  Area,Ready To Move,panathur,3 BHK,1315.0,2,1,5480000.0,1,3
Super built-up  Area,Ready To Move,kariyammana agrahara,3 BHK,1800.0,3,3,9000000.0,1,3
Built-up  Area,Ready To Move,hessarghatta,5 BHK,1600.0,4,0,12500000.0,1,5
Super built-up  Area,Ready To Move,tc palaya,3 BHK,1600.0,2,2,6500000.0,1,3
Plot  Area,Ready To Move,binnamangala,6 BHK,3968.0,5,2,90000000.0,1,6
Super built-up  Area,Ready To Move,suraksha nagar,3 BHK,1563.0,3,2,5200000.0,1,3
Super built-up  Area,Ready To Move,whitefield,3 BHK,1560.0,2,2,7200000.0,1,3
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,1050.0,2,2,5550000.0,1,2
Super built-up  Area,Ready To Move,iblur village,3 BHK,3235.0,3,1,23500000.0,1,3
Plot  Area,Ready To Move,tc palaya,3 BHK,1200.0,3,0,6600000.0,1,3
Super built-up  Area,Ready To Move,hsr layout,2 BHK,1140.0,2,2,4600000.0,1,2
Plot  Area,Ready To Move,7th phase jp nagar,3 BHK,1500.0,3,1,17000000.0,1,3
Super built-up  Area,Ready To Move,horamavu agara,3 BHK,1560.0,3,2,7500000.0,1,3
Super built-up  Area,Ready To Move,jp nagar,2 BHK,1100.0,2,2,7000000.0,1,2
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,1260.0,2,3,4032000.0,1,3
Super built-up  Area,18-Mar,hebbal,2 BHK,1036.0,2,1,5000000.0,0,2
Built-up  Area,Ready To Move,akshaya nagar,3 BHK,1662.0,3,3,8510000.0,1,3
Super built-up  Area,Ready To Move,yelachenahalli,3 BHK,1464.0,2,3,10500000.0,1,3
Super built-up  Area,Ready To Move,yelahanka,2 BHK,1234.0,2,2,8000000.0,1,2
Super built-up  Area,Ready To Move,sarjapur  road,3 BHK,1403.0,3,1,5500000.0,1,3
Plot  Area,Ready To Move,2nd stage nagarbhavi,6 BHK,3000.0,8,3,45100000.0,1,6
Super built-up  Area,Ready To Move,seegehalli,3 BHK,1150.0,2,2,4290000.0,1,3
Built-up  Area,Ready To Move,hebbal,4 BHK,3900.0,4,2,41000000.0,1,4
Super built-up  Area,18-Mar,kanakapura,2 BHK,929.0,2,1,4600000.0,0,2
Plot  Area,Ready To Move,2nd stage nagarbhavi,6 BHK,2400.0,8,3,45000000.0,1,6
Plot  Area,Ready To Move,tc palaya,3 BHK,1350.0,2,1,7500000.0,1,3
Super built-up  Area,Ready To Move,vasanthapura,2 BHK,1135.0,2,1,3972999.9999999995,1,2
Built-up  Area,Ready To Move,basava nagar,2 BHK,1405.0,2,2,7000000.0,1,2
Plot  Area,18-Sep,whitefield,2 BHK,1200.0,2,1,4584000.0,0,2
Super built-up  Area,18-Apr,haralur road,4 BHK,2805.0,4,3,15400000.0,0,4
Super built-up  Area,Ready To Move,yeshwanthpur,2 BHK,1161.0,2,2,6408000.0,1,2
Super built-up  Area,18-Dec,kanakpura road,2 BHK,1290.0,2,3,7400000.0,0,2
Super built-up  Area,Ready To Move,yeshwanthpur,3 BHK,2557.0,3,2,14100000.0,1,3
Built-up  Area,Ready To Move,2nd block hrbr layout,3 BHK,1480.0,3,2,9000000.0,1,3
Super built-up  Area,20-Dec,old madras road,3 BHK,1350.0,3,0,5454000.0,0,3
Super built-up  Area,Ready To Move,kadugodi,3 BHK,1580.0,2,2,6500000.0,1,3
Super built-up  Area,17-Oct,banashankari,3 BHK,1470.0,2,1,8864000.0,0,3
Super built-up  Area,18-Jun,ananth nagar,1 BHK,500.0,1,1,1400000.0,0,1
Super built-up  Area,18-Sep,sarjapur  road,2 BHK,1346.0,2,1,6192000.0,0,2
Super built-up  Area,Ready To Move,canara bank layout,3 BHK,1600.0,3,3,9000000.0,1,3
Super built-up  Area,Ready To Move,naganathapura,2 BHK,720.0,2,1,12000000.0,1,2
Plot  Area,Ready To Move,manjunath nagar,4 BHK,1200.0,4,0,13500000.0,1,4
Super built-up  Area,Ready To Move,basapura,2 BHK,1200.0,2,2,3500000.0,1,2
Built-up  Area,Ready To Move,channasandra,3 BHK,1340.0,2,2,4833000.0,1,3
Super built-up  Area,Ready To Move,jigani,2 BHK,918.0,2,2,4800000.0,1,2
Plot  Area,Ready To Move,singena agrahara,3 BHK,1500.0,3,2,11500000.0,1,3
Super built-up  Area,Ready To Move,yelahanka,2 BHK,1315.0,2,2,8500000.0,1,2
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,1390.0,2,2,6255000.0,1,3
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,1330.0,2,1,5600000.0,1,3
Super built-up  Area,17-Dec,mango garden layout,3 BHK,1824.0,3,3,12500000.0,0,3
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,1420.0,2,2,9600000.0,1,3
Plot  Area,Ready To Move,kacharakanahalli,1 BHK,750.0,1,0,5625000.0,1,1
Super built-up  Area,Ready To Move,jalahalli east,3 BHK,1260.0,2,1,6000000.0,1,3
Super built-up  Area,19-Sep,hennur road,3 BHK,1561.0,3,2,9500000.0,0,3
Super built-up  Area,Ready To Move,"bidere agarahara, behind safal market",2 BHK,1060.0,2,2,4200000.0,1,2
Super built-up  Area,18-Jul,haralur road,2 BHK,1225.0,2,1,6738000.0,0,2
Super built-up  Area,Ready To Move,thanisandra,3 BHK,2144.0,3,2,13500000.0,1,3
Super built-up  Area,Ready To Move,electronic city,2 BHK,880.0,2,2,2900000.0,1,2
Super built-up  Area,21-Dec,hoodi,3 BHK,1639.0,3,2,11000000.0,0,3
Built-up  Area,Ready To Move,thanisandra,3 BHK,1240.0,2,1,6200000.0,1,3
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,1500.0,2,2,6900000.0,1,2
Super built-up  Area,Ready To Move,haralur road,2 BHK,1243.0,2,1,4600000.0,1,2
Super built-up  Area,Ready To Move,haralur road,2 BHK,1027.0,2,2,4400000.0,1,2
Super built-up  Area,Ready To Move,kambipura,3 BHK,1082.0,2,1,5600000.0,1,3
Super built-up  Area,Ready To Move,konanakunte,3 BHK,1637.0,3,3,7300000.0,1,3
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,1665.0,3,2,8658000.0,1,3
Super built-up  Area,18-Dec,electronic city,2 BHK,1265.0,2,0,5693000.0,0,2
Super built-up  Area,21-Dec,electronic city,3 BHK,1691.0,2,2,10200000.0,0,3
Super built-up  Area,Ready To Move,thanisandra,2 BHK,1100.0,2,1,3800000.0,1,2
Plot  Area,19-Jan,gopalkrishna nagar,3 BHK,1500.0,3,2,6200000.0,0,3
Built-up  Area,Ready To Move,hosakerehalli,4 BHK,3205.0,5,1,38000000.0,1,4
