area_type,location,total_sqft,bath,balcony,price,ready_to_move,bedrooms,price_per_sqft
Super built-up  Area,chikkalasandra,1090.0,2,1,4742000.0,1,2,4350.45871559633
Built-up  Area,chikkalasandra,1325.0,2,1,5900000.0,1,2,4452.830188679245
Super built-up  Area,chikkalasandra,1290.0,2,2,7200000.0,1,2,5581.395348837209
Super built-up  Area,choodasandra,1115.0,2,2,5000000.0,1,2,4484.304932735426
Super built-up  Area,choodasandra,1300.0,2,3,5700000.0,1,2,4384.615384615385
Super built-up  Area,choodasandra,1530.0,3,2,7700000.0,0,3,5032.679738562091
Super built-up  Area,choodasandra,1197.0,2,1,6300000.0,0,2,5263.1578947368425
Super built-up  Area,choodasandra,1465.0,3,3,7500000.0,1,3,5119.453924914676
Super built-up  Area,choodasandra,1115.0,2,1,5000000.0,1,2,4484.304932735426
Super built-up  Area,choodasandra,1215.0,2,2,5900000.0,1,2,4855.9670781893
Super built-up  Area,choodasandra,1254.0,2,1,6500000.0,1,3,5183.413078149921
Super built-up  Area,choodasandra,1580.0,3,3,10500000.0,1,3,6645.569620253164
Super built-up  Area,choodasandra,725.0,2,2,3600000.0,1,2,4965.517241379311
Built-up  Area,choodasandra,2429.0,3,1,21000000.0,0,4,8645.533141210375
Super built-up  Area,choodasandra,1075.0,2,2,4500000.0,1,2,4186.046511627907
Super built-up  Area,choodasandra,1180.0,2,1,7122000.0,1,2,6035.593220338983
Built-up  Area,choodasandra,1140.0,2,2,6200000.0,1,2,5438.596491228071
Super built-up  Area,choodasandra,1560.0,3,2,7800000.0,1,3,5000.0
Built-up  Area,choodasandra,1065.0,2,1,4600000.0,1,2,4319.24882629108
Super built-up  Area,choodasandra,1115.0,2,2,5000000.0,1,2,4484.304932735426
Super built-up  Area,choodasandra,1115.0,2,1,5000000.0,1,2,4484.304932735426
Built-up  Area,cooke town,2388.0,4,3,23900000.0,1,3,10008.375209380234
Super built-up  Area,cooke town,1710.0,2,2,20000000.0,1,2,11695.906432748538
Super built-up  Area,cooke town,1310.0,2,2,11100000.0,1,2,8473.282442748092
Super built-up  Area,cooke town,1700.0,3,3,12000000.0,1,3,7058.823529411765
Super built-up  Area,cooke town,1100.0,2,3,9000000.0,1,2,8181.818181818182
Super built-up  Area,cooke town,2300.0,3,1,25000000.0,1,3,10869.565217391304
Super built-up  Area,cox town,1975.0,3,3,15000000.0,1,3,7594.93670886076
Super built-up  Area,cox town,1650.0,3,3,10000000.0,1,3,6060.606060606061
Super built-up  Area,cox town,1730.0,3,3,14000000.0,1,3,8092.485549132948
Super built-up  Area,cox town,1600.0,3,1,15000000.0,1,3,9375.0
Super built-up  Area,cox town,1250.0,2,2,9500000.0,1,2,7600.0
Built-up  Area,cox town,1280.0,2,1,12000000.0,1,2,9375.0
Built-up  Area,cox town,1073.0,2,2,7200000.0,1,2,6710.158434296365
Super built-up  Area,cox town,1000.0,2,3,5800000.0,1,2,5800.0
Super built-up  Area,cox town,1200.0,2,2,14000000.0,1,2,11666.666666666666
Super built-up  Area,cunningham road,5270.0,4,3,125000000.0,1,4,23719.165085388995
Super built-up  Area,cunningham road,3875.0,3,2,86400000.0,1,3,22296.774193548386
Super built-up  Area,cunningham road,3875.0,3,2,80000000.0,1,3,20645.16129032258
Super built-up  Area,cunningham road,3815.0,3,1,76300000.0,0,3,20000.0
Super built-up  Area,cunningham road,2880.0,3,2,50100000.0,1,3,17395.833333333332
Super built-up  Area,cunningham road,3489.0,3,1,66200000.0,0,3,18973.91802808828
Super built-up  Area,cunningham road,4170.0,3,2,80000000.0,1,3,19184.65227817746
Super built-up  Area,cunningham road,2700.0,3,1,50100000.0,1,3,18555.555555555555
Plot  Area,cunningham road,7500.0,6,2,180000000.0,1,4,24000.0
Super built-up  Area,cunningham road,2880.0,3,2,56000000.0,1,3,19444.444444444445
Super built-up  Area,cv raman nagar,1120.0,2,2,5500000.0,1,2,4910.714285714285
Built-up  Area,cv raman nagar,1070.0,2,1,5500000.0,1,2,5140.186915887851
Super built-up  Area,cv raman nagar,740.0,2,1,3700000.0,1,2,5000.0
Built-up  Area,cv raman nagar,1028.0,2,1,4900000.0,1,2,4766.536964980544
Super built-up  Area,cv raman nagar,1392.0,2,1,9800000.0,1,2,7040.229885057472
Super built-up  Area,cv raman nagar,1070.0,2,2,4750000.0,1,2,4439.252336448598
Super built-up  Area,cv raman nagar,1825.0,3,2,12600000.0,1,3,6904.109589041096
Super built-up  Area,cv raman nagar,1025.0,2,2,5000000.0,1,2,4878.048780487805
Super built-up  Area,cv raman nagar,1198.0,2,2,6000000.0,1,2,5008.347245409015
Super built-up  Area,cv raman nagar,1560.0,2,2,8500000.0,1,2,5448.717948717948
Super built-up  Area,cv raman nagar,1590.0,2,3,8500000.0,1,3,5345.911949685535
Super built-up  Area,cv raman nagar,1100.0,2,1,5800000.0,1,2,5272.727272727273
Super built-up  Area,cv raman nagar,1051.0,2,3,6100000.0,1,2,5803.996194100856
Super built-up  Area,cv raman nagar,1020.0,2,1,5500000.0,1,2,5392.156862745098
Super built-up  Area,cv raman nagar,1285.0,2,2,6500000.0,1,2,5058.365758754864
Super built-up  Area,cv raman nagar,1040.0,2,1,5000000.0,1,2,4807.692307692308
Super built-up  Area,cv raman nagar,1392.0,2,1,9500000.0,0,2,6824.712643678161
Super built-up  Area,cv raman nagar,705.0,2,1,5000000.0,1,1,7092.198581560284
Built-up  Area,cv raman nagar,1125.0,2,1,4600000.0,1,2,4088.8888888888887
Super built-up  Area,cv raman nagar,1400.0,2,2,7800000.0,1,3,5571.428571428572
Super built-up  Area,cv raman nagar,1400.0,2,2,7800000.0,1,3,5571.428571428572
Super built-up  Area,cv raman nagar,907.0,2,2,3800000.0,1,2,4189.636163175303
Built-up  Area,cv raman nagar,1310.0,2,1,6200000.0,1,2,4732.824427480916
Super built-up  Area,dasanapura,708.0,2,2,3700000.0,0,2,5225.988700564972
Super built-up  Area,dasanapura,708.0,1,1,4000000.0,1,2,5649.717514124294
Built-up  Area,dasanapura,965.0,2,1,4250000.0,1,2,4404.145077720207
Super built-up  Area,dasanapura,814.0,2,1,4200000.0,1,2,5159.7051597051595
Built-up  Area,dasanapura,1163.0,2,1,6500000.0,1,2,5588.993981083405
Super built-up  Area,dasanapura,1286.0,2,1,6800000.0,0,3,5287.713841368584
Super built-up  Area,dasanapura,708.0,2,1,3115000.0,1,2,4399.717514124294
Super built-up  Area,dasanapura,708.0,1,1,4100000.0,1,1,5790.960451977401
Super built-up  Area,dasanapura,814.0,2,1,4370000.0,1,2,5368.550368550368
Super built-up  Area,dasarahalli,1295.0,2,1,6500000.0,1,2,5019.305019305019
Built-up  Area,dasarahalli,1150.0,2,0,7000000.0,1,2,6086.95652173913
Super built-up  Area,dasarahalli,2100.0,3,3,12000000.0,1,3,5714.285714285715
Super built-up  Area,dasarahalli,1220.0,2,2,5200000.0,1,2,4262.295081967213
Super built-up  Area,dasarahalli,1375.0,2,1,6000000.0,1,2,4363.636363636364
Super built-up  Area,dasarahalli,1333.0,2,1,7856000.0,0,2,5893.473368342085
Super built-up  Area,dasarahalli,1220.0,2,2,6200000.0,1,2,5081.9672131147545
Super built-up  Area,devanahalli,1260.0,2,2,6678000.0,0,2,5300.0
Super built-up  Area,devanahalli,1282.0,2,2,6852000.0,0,3,5344.773790951638
Super built-up  Area,devanahalli,1360.0,2,1,6500000.0,0,2,4779.411764705882
Super built-up  Area,devanahalli,1408.0,2,2,8500000.0,0,2,6036.931818181818
Super built-up  Area,devanahalli,1010.0,2,1,5100000.0,1,2,5049.504950495049
Super built-up  Area,devanahalli,1080.0,2,0,5335000.0,1,2,4939.814814814815
Plot  Area,devanahalli,2400.0,5,3,10000000.0,1,5,4166.666666666667
Super built-up  Area,devanahalli,1174.0,2,1,5900000.0,0,2,5025.553662691653
Super built-up  Area,devanahalli,658.0,1,1,3400000.0,0,1,5167.173252279636
Super built-up  Area,devanahalli,658.0,1,0,2691000.0,0,1,4089.665653495441
Super built-up  Area,devanahalli,698.5,1,0,2857000.0,0,1,4090.1932712956336
Super built-up  Area,devanahalli,1080.0,2,1,5200000.0,1,2,4814.814814814815
Super built-up  Area,devanahalli,1700.0,3,0,8820000.0,0,3,5188.235294117647
Super built-up  Area,devanahalli,1498.0,3,3,7915000.000000001,0,3,5283.711615487317
Super built-up  Area,devanahalli,1466.0,3,3,7759000.0,0,3,5292.633015006822
Super built-up  Area,devanahalli,775.0,1,0,3900000.0,1,1,5032.258064516129
Super built-up  Area,devanahalli,1020.0,2,1,4987000.0,0,1,4889.21568627451
Super built-up  Area,devanahalli,1045.0,2,2,4800000.0,1,2,4593.301435406698
Super built-up  Area,devanahalli,1550.0,3,1,8500000.0,1,3,5483.870967741936
Super built-up  Area,devanahalli,1340.0,2,1,6500000.0,0,2,4850.746268656716
Built-up  Area,devanahalli,2125.0,3,1,10700000.0,0,3,5035.294117647059
Super built-up  Area,devanahalli,1230.0,2,1,5645000.0,0,2,4589.430894308943
Super built-up  Area,devanahalli,1360.0,2,0,6242500.0,0,2,4590.073529411765
Super built-up  Area,devanahalli,658.0,1,1,2691000.0,0,1,4089.665653495441
Built-up  Area,devanahalli,1010.0,2,1,5800000.0,1,2,5742.574257425743
Super built-up  Area,devarachikkanahalli,1250.0,2,2,4000000.0,1,2,3200.0
Plot  Area,devarachikkanahalli,1200.0,2,2,8300000.0,1,2,6916.666666666667
Super built-up  Area,devarachikkanahalli,1170.0,2,2,4000000.0,1,2,3418.803418803419
Built-up  Area,devarachikkanahalli,615.0,1,1,2400000.0,1,1,3902.439024390244
Super built-up  Area,devarachikkanahalli,1230.0,2,1,5800000.0,1,2,4715.447154471544
Super built-up  Area,devarachikkanahalli,1425.0,2,2,6500000.0,1,3,4561.403508771929
Super built-up  Area,devarachikkanahalli,947.0,2,2,4300000.0,1,2,4540.654699049631
Super built-up  Area,devarachikkanahalli,1130.0,2,2,3600000.0,1,2,3185.8407079646017
Super built-up  Area,devarachikkanahalli,1417.0,2,2,7600000.0,1,3,5363.443895553987
Super built-up  Area,devarachikkanahalli,1230.0,2,1,5800000.0,1,2,4715.447154471544
Super built-up  Area,devarachikkanahalli,1705.0,3,2,7500000.0,1,3,4398.826979472141
Built-up  Area,devarachikkanahalli,1116.0,2,1,4700000.0,1,2,4211.469534050179
Super built-up  Area,devarachikkanahalli,991.0,2,2,4000000.0,1,2,4036.326942482341
Built-up  Area,dodda nekkundi,1260.0,2,2,5500000.0,1,2,4365.079365079365
Super built-up  Area,dodda nekkundi,850.0,2,3,2800000.0,1,2,3294.1176470588234
Super built-up  Area,dodda nekkundi,1390.0,2,2,6000000.0,1,2,4316.546762589928
Super built-up  Area,dodda nekkundi,1804.0,3,2,12100000.0,1,3,6707.317073170731
Super built-up  Area,dodda nekkundi,1080.0,2,2,5000000.0,1,2,4629.62962962963
Super built-up  Area,dodda nekkundi,1999.0,3,2,13200000.0,1,3,6603.301650825412
Super built-up  Area,dodda nekkundi,1100.0,2,2,4800000.0,1,2,4363.636363636364
Super built-up  Area,dodda nekkundi,1999.0,3,2,13500000.0,1,3,6753.376688344172
Super built-up  Area,dodda nekkundi,1100.0,2,1,4115000.0,1,2,3740.909090909091
Super built-up  Area,dodda nekkundi,1252.0,2,1,7100000.0,1,3,5670.926517571885
Super built-up  Area,dodda nekkundi,1155.0,2,1,4600000.0,1,2,3982.683982683983
Super built-up  Area,dodda nekkundi,1128.0,2,2,4500000.0,1,2,3989.3617021276596
Super built-up  Area,dodda nekkundi,1148.0,2,1,5600000.0,1,2,4878.048780487805
Built-up  Area,dodda nekkundi,1145.0,2,1,4650000.0,1,2,4061.1353711790393
Super built-up  Area,dodda nekkundi,1829.0,3,2,12500000.0,1,3,6834.3357025697105
Super built-up  Area,dodda nekkundi,1100.0,2,1,4116000.0,1,2,3741.818181818182
Super built-up  Area,dodda nekkundi,1100.0,2,1,4675000.0,1,2,4250.0
Super built-up  Area,dodda nekkundi,1315.0,2,2,5000000.0,1,2,3802.2813688212927
Super built-up  Area,dodda nekkundi,1135.0,2,2,5800000.0,1,2,5110.132158590309
Super built-up  Area,dodda nekkundi,1100.0,2,1,4118000.0,1,2,3743.6363636363635
Built-up  Area,dodda nekkundi,1370.0,2,2,6000000.0,1,2,4379.56204379562
Super built-up  Area,dodda nekkundi,1200.0,2,2,7100000.0,1,2,5916.666666666667
Super built-up  Area,dodda nekkundi,1585.0,2,2,7900000.0,1,3,4984.22712933754
Built-up  Area,dodda nekkundi,1005.0,2,2,4500000.0,1,2,4477.611940298508
Super built-up  Area,doddaballapur,1690.0,3,2,8000000.0,1,4,4733.7278106508875
Plot  Area,doddaballapur,3000.0,2,2,12000000.0,1,3,4000.0
Plot  Area,doddaballapur,4200.0,4,3,32500000.0,1,4,7738.0952380952385
Plot  Area,doddaballapur,3876.0,3,1,30000000.0,1,3,7739.938080495356
Plot  Area,doddaballapur,2776.0,4,2,19500000.0,1,3,7024.495677233429
Plot  Area,doddaballapur,2440.0,3,1,14200000.0,1,3,5819.672131147541
Plot  Area,doddaballapur,2400.0,3,0,20000000.0,1,4,8333.333333333334
Super built-up  Area,doddaballapur,654.0,1,1,4900000.0,0,1,7492.354740061162
Super built-up  Area,doddakallasandra,1010.0,2,1,4039000.0,1,2,3999.009900990099
Super built-up  Area,doddakallasandra,1010.0,2,1,4039000.0,1,2,3999.009900990099
Super built-up  Area,doddakallasandra,1072.0,2,1,4287000.0,1,2,3999.0671641791046
Super built-up  Area,doddakallasandra,1010.0,2,1,4040000.0,1,2,4000.0
Super built-up  Area,doddakallasandra,1010.0,2,1,4100000.0,1,2,4059.4059405940593
Super built-up  Area,doddakallasandra,1072.0,2,1,4287000.0,1,2,3999.0671641791046
Super built-up  Area,doddathoguru,970.0,2,0,3300000.0,1,2,3402.061855670103
Built-up  Area,doddathoguru,1050.0,2,1,3200000.0,1,2,3047.6190476190477
Super built-up  Area,doddathoguru,850.0,2,1,2500000.0,1,2,2941.176470588235
Super built-up  Area,doddathoguru,1030.0,2,2,4200000.0,1,2,4077.669902912621
Super built-up  Area,doddathoguru,1549.0,3,2,6500000.0,1,3,4196.255648805681
Super built-up  Area,doddathoguru,550.0,1,1,1700000.0,1,1,3090.909090909091
Super built-up  Area,doddathoguru,1015.0,2,2,3350000.0,1,2,3300.4926108374384
Super built-up  Area,doddathoguru,1104.0,2,2,3900000.0,1,2,3532.608695652174
Super built-up  Area,doddathoguru,915.0,2,1,3200000.0,1,2,3497.2677595628415
Super built-up  Area,doddathoguru,750.0,1,1,2550000.0,1,1,3400.0
Super built-up  Area,doddathoguru,1595.0,3,3,6200000.0,1,3,3887.1473354231975
Super built-up  Area,doddathoguru,855.0,2,1,3200000.0,1,2,3742.690058479532
Super built-up  Area,doddathoguru,1105.0,2,1,5000000.0,1,2,4524.886877828054
Built-up  Area,doddathoguru,925.0,2,2,3000000.0,1,2,3243.2432432432433
Built-up  Area,doddathoguru,1208.0,3,1,4500000.0,1,3,3725.1655629139073
Built-up  Area,doddathoguru,1100.0,2,2,5000000.0,1,2,4545.454545454545
Super built-up  Area,doddathoguru,940.0,2,1,3290000.0,1,2,3500.0
Super built-up  Area,doddathoguru,1382.0,3,1,6500000.0,1,3,4703.328509406657
Built-up  Area,doddathoguru,1107.0,2,3,4400000.0,1,2,3974.706413730804
Built-up  Area,doddathoguru,907.0,2,1,4000000.0,1,2,4410.143329658214
Super built-up  Area,doddathoguru,1783.0,3,3,8500000.0,1,3,4767.246214245653
Super built-up  Area,doddathoguru,550.0,1,1,1700000.0,1,1,3090.909090909091
Super built-up  Area,domlur,1540.0,3,2,9000000.0,1,3,5844.1558441558445
Super built-up  Area,domlur,1875.0,2,2,15000000.0,1,3,8000.0
Super built-up  Area,domlur,1429.0,3,3,8600000.0,1,3,6018.194541637508
Built-up  Area,domlur,640.0,1,0,5500000.0,1,1,8593.75
Super built-up  Area,domlur,1050.0,2,2,8500000.0,1,2,8095.238095238095
Super built-up  Area,domlur,1800.0,3,2,15000000.0,1,3,8333.333333333334
Super built-up  Area,domlur,1720.0,3,1,13500000.0,1,3,7848.837209302325
Super built-up  Area,domlur,1950.0,3,3,16500000.0,1,3,8461.538461538461
Built-up  Area,domlur,2180.0,3,2,28500000.0,0,3,13073.394495412844
Super built-up  Area,domlur,650.0,1,1,7000000.0,1,1,10769.23076923077
Super built-up  Area,domlur,780.0,1,1,7000000.0,1,1,8974.358974358975
Super built-up  Area,domlur,2180.0,3,2,28500000.0,1,3,13073.394495412844
Super built-up  Area,domlur,1740.0,3,0,12000000.0,1,3,6896.551724137931
Built-up  Area,domlur,1695.0,3,2,12500000.0,1,3,7374.6312684365785
Super built-up  Area,domlur,1246.0,2,1,9500000.0,1,2,7624.398073836276
Super built-up  Area,domlur,2100.0,3,2,14500000.0,1,3,6904.761904761905
Super built-up  Area,domlur,1276.0,2,2,8000000.0,1,2,6269.592476489028
Super built-up  Area,domlur,1850.0,3,1,18000000.0,1,3,9729.72972972973
Built-up  Area,domlur,1650.0,3,1,18000000.0,1,3,10909.09090909091
Super built-up  Area,dommasandra,805.0,2,1,2214000.0,0,2,2750.3105590062114
Built-up  Area,dommasandra,1267.0,3,2,5600000.0,1,3,4419.889502762431
Super built-up  Area,dommasandra,1200.0,2,2,5000000.0,1,2,4166.666666666667
Built-up  Area,dommasandra,2700.0,3,2,6800000.0,1,4,2518.5185185185187
Super built-up  Area,dommasandra,1153.0,2,2,4350000.0,1,2,3772.7666955767563
Plot  Area,dommasandra,1500.0,2,0,4000000.0,0,2,2666.6666666666665
Super built-up  Area,dommasandra,1090.0,2,2,4350000.0,1,2,3990.8256880733943
Super built-up  Area,dommasandra,850.0,2,1,2540000.0,0,2,2988.235294117647
Super built-up  Area,dommasandra,674.0,1,1,1990000.0,0,2,2952.522255192878
Super built-up  Area,dommasandra,999.0,2,2,3290000.0,1,2,3293.293293293293
Super built-up  Area,electronic city,1025.0,2,1,4700000.0,1,3,4585.365853658536
Super built-up  Area,electronic city,1500.0,2,1,6450000.0,1,3,4300.0
Built-up  Area,electronic city,1060.0,2,1,6000000.0,1,2,5660.377358490566
Super built-up  Area,electronic city,1152.0,2,1,6450000.0,0,2,5598.958333333333
Built-up  Area,electronic city,770.0,1,1,3600000.0,1,2,4675.324675324675
Super built-up  Area,electronic city,1070.0,2,1,5200000.0,1,2,4859.813084112149
Built-up  Area,electronic city,1025.0,2,1,4600000.0,1,2,4487.804878048781
Super built-up  Area,electronic city,589.0,1,1,2700000.0,1,1,4584.040747028863
Super built-up  Area,electronic city,910.0,2,1,4000000.0,1,2,4395.604395604396
Super built-up  Area,electronic city,1108.0,2,1,6300000.0,0,2,5685.9205776173285
Super built-up  Area,electronic city,1128.0,2,1,6500000.0,0,2,5762.41134751773
Super built-up  Area,electronic city,1800.0,3,2,9500000.0,1,3,5277.777777777777
Built-up  Area,electronic city,630.0,1,1,3465000.0,0,1,5500.0
Super built-up  Area,electronic city,1128.0,2,1,6300000.0,0,2,5585.106382978724
Super built-up  Area,electronic city,1599.0,3,2,9900000.0,0,3,6191.369606003753
Super built-up  Area,electronic city,1070.0,2,1,5500000.0,1,2,5140.186915887851
Super built-up  Area,electronic city,940.0,2,1,4100000.0,1,2,4361.702127659574
Super built-up  Area,electronic city,1128.0,2,1,6875000.0,0,2,6094.858156028369
Super built-up  Area,electronic city,1342.0,2,1,7330000.0,0,2,5461.997019374068
Super built-up  Area,electronic city,1360.0,2,1,7100000.0,1,3,5220.588235294118
Super built-up  Area,electronic city,1265.0,2,0,5693000.0,0,2,4500.395256916996
Super built-up  Area,electronic city,1691.0,2,2,10200000.0,0,3,6031.933767001774
Super built-up  Area,electronic city,1128.0,2,1,6548999.999999999,0,2,5805.851063829787
Super built-up  Area,electronic city,1070.0,2,1,5610000.0,1,2,5242.990654205608
Plot  Area,electronic city,2000.0,4,0,12000000.0,1,4,6000.0
Built-up  Area,electronic city,890.0,2,2,4500000.0,1,2,5056.179775280899
Super built-up  Area,electronic city,1128.0,2,1,6565000.000000001,0,2,5820.035460992909
Built-up  Area,electronic city,865.0,2,0,4200000.0,1,2,4855.491329479769
Super built-up  Area,electronic city,910.0,2,2,4200000.0,1,2,4615.384615384615
Built-up  Area,electronic city,1360.0,2,1,7500000.0,1,3,5514.705882352941
Super built-up  Area,electronic city,770.0,1,1,4000000.0,1,2,5194.805194805195
Super built-up  Area,electronic city,1128.0,2,1,6400000.0,1,2,5673.758865248227
Super built-up  Area,electronic city,1070.0,2,1,5400000.0,1,2,5046.728971962617
Super built-up  Area,electronic city,1571.0,3,2,8900000.0,0,3,5665.1814131126675
Super built-up  Area,electronic city,1111.0,3,1,5000000.0,0,3,4500.450045004501
Super built-up  Area,electronic city,870.0,2,1,3950000.0,1,2,4540.229885057472
Super built-up  Area,electronic city,1374.0,2,1,7200000.0,0,3,5240.174672489083
Super built-up  Area,electronic city,1128.0,2,1,6534999.999999999,0,2,5793.439716312056
Super built-up  Area,electronic city,1128.0,2,1,6500000.0,0,2,5762.41134751773
Super built-up  Area,electronic city,755.0,1,1,3400000.0,1,2,4503.311258278146
Super built-up  Area,electronic city,1563.0,3,2,9184000.0,0,3,5875.879718490083
Super built-up  Area,electronic city,1652.0,3,2,7000000.0,1,3,4237.28813559322
Super built-up  Area,electronic city,1025.0,2,1,5450000.0,0,2,5317.073170731707
Super built-up  Area,electronic city,1350.0,3,2,5800000.0,1,3,4296.2962962962965
Super built-up  Area,electronic city,1700.0,3,2,7500000.0,1,3,4411.764705882353
Super built-up  Area,electronic city,1128.0,2,1,6800000.0,1,2,6028.368794326241
Built-up  Area,electronic city,700.0,1,1,3500000.0,1,1,5000.0
Super built-up  Area,electronic city,1360.0,2,1,7050000.0,1,3,5183.823529411765
Super built-up  Area,electronic city,1571.0,3,2,10500000.0,1,3,6683.64099299809
Built-up  Area,electronic city,1600.0,3,2,10400000.0,0,3,6500.0
Built-up  Area,electronic city,1500.0,2,1,10000000.0,1,3,6666.666666666667
Super built-up  Area,electronic city,1152.0,2,1,6500000.0,0,2,5642.361111111111
Super built-up  Area,electronic city,1070.0,2,1,6000000.0,1,2,5607.476635514019
Super built-up  Area,electronic city,1128.0,2,1,6550000.0,0,2,5806.737588652482
Super built-up  Area,electronic city,1200.0,2,1,5900000.0,1,2,4916.666666666667
Super built-up  Area,electronic city,1152.0,2,1,6575000.0,0,2,5707.465277777777
Super built-up  Area,electronic city,1070.0,2,1,5500000.0,0,2,5140.186915887851
Super built-up  Area,electronic city,1060.0,2,1,5800000.0,1,2,5471.698113207547
Super built-up  Area,electronic city,1025.0,2,1,5410000.0,0,2,5278.048780487805
Super built-up  Area,electronic city,1500.0,2,1,7800000.0,1,3,5200.0
Super built-up  Area,electronic city,1213.0,2,1,5932000.0,0,2,4890.35449299258
Super built-up  Area,electronic city,1575.0,3,2,9000000.0,1,3,5714.285714285715
Built-up  Area,electronic city,435.0,1,1,1950000.0,1,1,4482.758620689655
Built-up  Area,electronic city,1449.0,3,2,10000000.0,1,3,6901.311249137336
Super built-up  Area,electronic city,1125.0,2,1,5800000.0,1,2,5155.555555555556
Super built-up  Area,electronic city,1575.0,3,3,10100000.0,1,3,6412.6984126984125
Built-up  Area,electronic city,550.0,1,1,1200000.0,1,1,2181.818181818182
Super built-up  Area,electronic city,919.0,2,2,4000000.0,1,2,4352.557127312296
Super built-up  Area,electronic city,1500.0,2,1,7825000.0,0,3,5216.666666666667
Super built-up  Area,electronic city,1363.0,2,1,7900000.0,1,2,5796.038151137197
Super built-up  Area,electronic city,1108.0,2,1,6715000.000000001,1,2,6060.469314079423
Super built-up  Area,electronic city,1128.0,2,1,6570000.0,0,2,5824.468085106383
Built-up  Area,electronic city,1060.0,2,1,5100000.0,1,2,4811.320754716981
Built-up  Area,electronic city,1650.0,3,2,10000000.0,0,3,6060.606060606061
Super built-up  Area,electronic city,1025.0,2,1,4900000.0,1,2,4780.487804878048
Super built-up  Area,electronic city,1449.0,3,2,9000000.0,1,3,6211.180124223602
Super built-up  Area,electronic city,1070.0,2,1,5800000.0,1,2,5420.560747663551
Super built-up  Area,electronic city,1210.0,2,1,5400000.0,1,2,4462.809917355372
Built-up  Area,electronic city,1500.0,2,1,7500000.0,0,3,5000.0
Super built-up  Area,electronic city,1070.0,2,1,5200000.0,1,2,4859.813084112149
Super built-up  Area,electronic city,2435.0,4,3,11900000.0,0,4,4887.063655030801
Super built-up  Area,electronic city,1073.0,2,2,6000000.0,1,2,5591.798695246971
Super built-up  Area,electronic city,1500.0,2,1,7800000.0,0,3,5200.0
Super built-up  Area,electronic city,1070.0,2,1,4700000.0,0,2,4392.523364485981
Super built-up  Area,electronic city,1296.0,2,2,6500000.0,1,2,5015.432098765432
Super built-up  Area,electronic city,1140.0,2,1,7093000.000000001,0,2,6221.9298245614045
Super built-up  Area,electronic city,2093.0,4,1,10400000.0,0,4,4968.944099378882
Super built-up  Area,electronic city,1025.0,2,1,5390000.0,1,2,5258.536585365854
Built-up  Area,electronic city,940.0,2,1,5400000.0,1,2,5744.68085106383
Super built-up  Area,electronic city,435.0,1,1,2100000.0,1,1,4827.586206896552
Super built-up  Area,electronic city,1500.0,2,1,7750000.0,0,3,5166.666666666667
Super built-up  Area,electronic city,1631.0,3,2,8000000.0,1,3,4904.9662783568365
Super built-up  Area,electronic city,1355.0,2,1,6700000.0,0,2,4944.649446494465
Super built-up  Area,electronic city,435.0,1,1,2200000.0,1,1,5057.471264367816
Super built-up  Area,electronic city,1039.0,2,1,5000000.0,1,2,4812.319538017325
Super built-up  Area,electronic city,770.0,1,1,3990000.0,1,2,5181.818181818182
Super built-up  Area,electronic city,1128.0,2,1,6400000.0,0,2,5673.758865248227
Super built-up  Area,electronic city,605.0,1,0,1331000.0,0,1,2200.0
Super built-up  Area,electronic city,530.0,1,1,1350000.0,0,1,2547.169811320755
Super built-up  Area,electronic city,1070.0,2,1,5300000.0,1,2,4953.271028037383
Super built-up  Area,electronic city,1571.0,3,2,8300000.0,0,3,5283.259070655633
Super built-up  Area,electronic city,1350.0,3,2,6600000.0,1,3,4888.888888888889
Super built-up  Area,electronic city,1652.0,3,3,11000000.0,1,3,6658.595641646489
Super built-up  Area,electronic city,1128.0,2,1,6558000.0,0,2,5813.829787234043
Built-up  Area,electronic city,635.0,1,1,2800000.0,1,1,4409.4488188976375
Super built-up  Area,electronic city,1128.0,2,1,6540000.000000001,0,2,5797.8723404255325
Super built-up  Area,electronic city,1355.0,2,1,7290000.000000001,0,2,5380.073800738008
Built-up  Area,electronic city,770.0,1,1,3500000.0,1,2,4545.454545454545
Super built-up  Area,electronic city,865.0,2,1,4000000.0,1,2,4624.277456647399
Super built-up  Area,electronic city,1108.0,2,1,6300000.0,1,2,5685.9205776173285
Super built-up  Area,electronic city,630.0,1,1,4050000.0,0,1,6428.571428571428
Super built-up  Area,electronic city,605.0,1,1,2200000.0,1,1,3636.3636363636365
Super built-up  Area,electronic city,1070.0,2,1,4800000.0,1,2,4485.981308411215
Super built-up  Area,electronic city,1360.0,2,1,7000000.0,1,3,5147.058823529412
Super built-up  Area,electronic city,635.0,1,0,2800000.0,1,1,4409.4488188976375
Super built-up  Area,electronic city,1128.0,2,1,6545000.0,0,2,5802.304964539007
Super built-up  Area,electronic city,890.0,2,1,4000000.0,1,2,4494.38202247191
Super built-up  Area,electronic city,1360.0,2,1,5800000.0,1,3,4264.705882352941
Super built-up  Area,electronic city,630.0,1,1,3370000.0000000005,0,1,5349.20634920635
Built-up  Area,electronic city,1400.0,3,1,9000000.0,1,3,6428.571428571428
Built-up  Area,electronic city,1287.0,3,1,5500000.0,1,3,4273.504273504273
Super built-up  Area,electronic city,1258.0,2,1,8550000.0,1,2,6796.502384737679
Built-up  Area,electronic city,1386.0,2,1,8500000.0,1,2,6132.7561327561325
